"Leonardo da Vinci","1453-04-15"
"Pablo Picasso","1881-10-25"
"Auguste Rodin","1840-11-12"
"Vincent van Gogh","1853-03-30"
"Robert Rauschenberg","1925-10-22"
"Frida Kahlo","1907-07-06"
"Claude Monet","1840-11-14"
"René Magritte","1898-11-21"
"Jasper Johns","1930-05-15"
"Jackson Pollock","1912-01-28"
"Jeff Koons","1955-01-21"
"Andy Warhol","1928-08-06"
"Paul Gauguin","1848-06-07"
"Nan Goldin","1953-09-12"
"Hans Haacke","1936-08-12"
"Edward Hopper","1882-07-22"
"Sally Mann","1951-05-01"
"Gerhard Richter","1932-02-09"
"Egon Schiele","1890-06-12"
"Eadweard Muybridge","1830-04-09"
"Sam Taylor-Wood","1967-03-04"
"Kara Walker","1969-11-26"
"Salvador Dalí","1904-05-11"
"Man Ray","1890-08-27"
"Ansel Adams","1902-02-20"
"Édouard Manet","1832-01-23"
"Camille Pissarro","1830-07-10"
"Mary Cassatt","1844-05-22"
"Jean-François Raffaëlli","1850-04-20"
"Edgar Degas","1834-07-19"
"Georges-Pierre Seurat","1859-12-02"
"Pierre-Auguste Renoir","1841-02-25"
"Marc-Charles-Gabriel Gleyre","1806-05-02"
"Alfred Sisley","1839-10-30"
"John Constable","1776-06-11"
"J. M. W. Turner","1775-04-23"
"Eugène Delacroix","1798-04-26"
"Peter Paul Rubens","1577-06-28"
"Théodore Géricault","1791-09-26"
"Eva Hesse","1936-01-11"
"Eugène Boudin","1824-07-12"
"Jacques-Louis David","1748-08-30"
"Jean-Antoine Watteau","1684-10-10"
"François Boucher","1703-09-29"
"Walter Inglis Anderson","1903-09-29"
"Yoshitaka Amano","1952-07-28"
"Frank Frazetta","1928-02-09"
"Jean-François Millet","1814-10-04"
"Richard Wolstencroft","1969-04-23"
"Ştefan Luchian","1868-02-01"
"Ron Regé Jr.","1969-12-05"
"Alexander Calder","1898-07-22"
"Nadežda Petrović","1873-10-12"
"Ivan Aivazovsky","1817-07-29"
"Romaine Brooks","1874-05-01"
"Caravaggio","1571-09-29"
"Paul Klee","1879-12-18"
"Lyn Ott","1926-04-25"
"Payut Ngaokrachang","1929-04-01"
"Rosanna Arquette","1959-08-10"
"Jean Tabaud","1914-07-05"
"Tintoretto","1518-09-29"
"Francisco Goya","1746-03-30"
"Lucian Freud","1922-12-08"
"Daniela Cicarelli","1978-11-06"
"Francis Bacon","1909-10-28"
"Michelangelo","1475-03-06"
"Hem Vejakorn","1904-01-17"
"Käthe Kollwitz","1867-07-08"
"Raphael","1483-04-06"
"Gustave Courbet","1819-06-10"
"Rembrandt","1606-07-15"
"Paul Cézanne","1839-01-19"
"Constantine Andreou","1917-03-24"
"Nicolae Tonitza","1886-04-13"
"Albrecht Dürer","1471-05-21"
"Ştefan Dimitrescu","1886-01-18"
"Martiros Saryan","1880-02-28"
"Isamu Noguchi","1904-11-17"
"John Bridgeman","1916-02-02"
"Bob Ross","1942-10-29"
"Ann Hamilton","1956-06-22"
"Jean Auguste Dominique Ingres","1780-08-29"
"Ian Hamilton Finlay","1925-10-28"
"M. C. Escher","1898-06-17"
"Honoré Daumier","1808-02-26"
"Alan Lee","1947-08-20"
"Bartolomeo Manfredi","1582-08-25"
"Carl Schuch","1846-09-30"
"Eugène Boch","1855-09-01"
"Carlo Carrà","1881-02-11"
"Archibald MacNeal Willard","1836-08-22"
"Antoine Wiertz","1806-02-22"
"Théo van Rysselberghe","1862-11-23"
"Giovanni Francesco Barbieri","1591-02-08"
"Sandro Botticelli","1445-03-01"
"Edwin Henry Landseer","1802-03-07"
"Winslow Homer","1836-02-24"
"Annibale Carracci","1560-11-03"
"Giorgio de Chirico","1888-07-10"
"James McNeill Whistler","1834-07-11"
"Emanuel Leutze","1816-05-24"
"William-Adolphe Bouguereau","1825-11-30"
"Jan Matejko","1838-06-24"
"Masaccio","1401-12-21"
"Diego Velázquez","1599-06-06"
"Andrew Wyeth","1917-07-12"
"Henry Raeburn","1756-03-04"
"Alexandre Cabanel","1823-09-28"
"Thomas Eakins","1844-07-25"
"John Everett Millais","1829-06-08"
"Thomas Gainsborough","1727-05-14"
"Nicolas Poussin","1594-06-15"
"Grant Wood","1891-02-13"
"Gilbert Stuart","1755-12-03"
"Ford Madox Brown","1821-04-16"
"Francesco Hayez","1791-02-10"
"Thomas Cole","1801-02-01"
"William Hogarth","1697-11-10"
"John Singleton Copley","1738-07-03"
"Henri Rousseau","1844-05-21"
"Paul Signac","1863-11-11"
"Juan Luna","1857-10-23"
"Piero di Cosimo","1462-01-02"
"Andrea del Sarto","1486-07-16"
"Robert Walter Weir","1803-06-18"
"Pontormo","1494-05-24"
"Gustav Klimt","1862-07-14"
"Elito V. Circa","1970-01-28"
"Joseph Wright of Derby","1734-09-03"
"Valentin de Boulogne","1591-01-03"
"Tristan Tzara","1896-04-16"
"Marcel Janco","1895-05-24"
"Gian Lorenzo Bernini","1598-12-07"
"Marcel Duchamp","1887-07-28"
"Sol LeWitt","1928-09-09"
"Donald Judd","1928-06-03"
"Frank Stella","1936-05-12"
"Julius Shulman","1910-10-10"
"Mark Rothko","1903-09-25"
"Clyfford Still","1904-11-30"
"Barnett Newman","1905-01-29"
"Richard Diebenkorn","1922-04-22"
"Robert Gober","1954-09-12"
"Claes Oldenburg","1929-01-28"
"Coosje van Bruggen","1942-06-06"
"Julian Schnabel","1951-10-26"
"John Singer Sargent","1856-01-12"
"Henri Matisse","1869-12-31"
"Amedeo Modigliani","1884-07-12"
"Juan Gris","1887-03-23"
"Edvard Munch","1863-12-12"
"Wassily Kandinsky","1866-12-16"
"Agnes Martin","1912-03-22"
"Santiago Calatrava","1980-01-01"
"Sebastião Salgado","1944-02-08"
"Dorothea Lange","1895-05-26"
"László Moholy-Nagy","1895-07-20"
"Berthe Morisot","1841-01-14"
"Armand Guillaumin","1841-02-16"
"Gustave Caillebotte","1848-08-19"
"Frédéric Bazille","1841-12-06"
"Frederick Carl Frieseke","1874-04-07"
"Francisco Oller","1833-06-17"
"Theodore Robinson","1852-07-03"
"Charles Green Shaw","1892-05-01"
"Louise Bourgeois","1911-12-25"
"Cy Twombly","1928-04-25"
"Joseph Beuys","1921-05-12"
"Francesca Woodman","1958-04-03"
"Jannis Kounellis","1936-03-23"
"Leonor Fini","1908-08-30"
"Edward Wadsworth","1889-10-09"
"Paul Nash","1889-05-11"
"Joan Miró","1893-04-20"
"Max Ernst","1891-04-02"
"Yves Tanguy","1900-01-05"
"Hans Bellmer","1902-03-13"
"John Tunnard","1900-05-07"
"Roland Penrose","1900-10-14"
"Eileen Agar","1899-12-01"
"David Gascoyne","1916-10-10"
"John Atkinson Grimshaw","1836-09-06"
"Kris Krug","1976-12-14"
"James Ensor","1860-04-13"
"Georges Rouault","1871-05-27"
"Albert Marquet","1875-03-27"
"Raoul Dufy","1877-06-03"
"Maurice Utrillo","1883-12-25"
"Jeff Wall","1946-09-29"
"Gordon Matta-Clark","1943-06-22"
"John Baldessari","1931-06-17"
"Douglas Huebler","1924-10-27"
"Bill Viola","1951-01-25"
"Andreas Gursky","1955-01-15"
"Richard Tuttle","1941-07-12"
"Carl Andre","1935-09-16"
"Kiki Smith","1954-01-18"
"Berenice Abbott","1898-07-17"
"Takashi Murakami","1962-02-01"
"Elizabeth Gallagher","1922-06-13"
"Gottfried Lindauer","1839-01-05"
"Herman Wilhelm Bissen","1798-10-13"
